Dataset,Model,Attack,Partition,Aggregator,Iteration,Metric,Mean,CI
CIFAR-10,softmax,static,iid,TriMean,6,per_class_accs_class_5,0.0405,0.0009800000000000008
CIFAR-10,softmax,static,iid,TriMean,7,per_class_accs_class_5,0.0405,0.0009800000000000008
CIFAR-10,softmax,static,iid,TriMean,8,per_class_accs_class_5,0.0405,0.0009800000000000008
CIFAR-10,softmax,static,iid,TriMean,9,per_class_accs_class_5,0.0335,0.06566
CIFAR-10,softmax,static,iid,TriMean,0,per_class_accs_class_6,0.055,0.0784
CIFAR-10,softmax,static,iid,TriMean,1,per_class_accs_class_6,0.055,0.0784
CIFAR-10,softmax,static,iid,TriMean,2,per_class_accs_class_6,0.055,0.0784
CIFAR-10,softmax,static,iid,TriMean,3,per_class_accs_class_6,0.055,0.0784
CIFAR-10,softmax,static,iid,TriMean,4,per_class_accs_class_6,0.055,0.0784
CIFAR-10,softmax,static,iid,TriMean,5,per_class_accs_class_6,0.055,0.0784
CIFAR-10,softmax,static,iid,TriMean,6,per_class_accs_class_6,0.055,0.0784
CIFAR-10,softmax,static,iid,TriMean,7,per_class_accs_class_6,0.055,0.0784
CIFAR-10,softmax,static,iid,TriMean,8,per_class_accs_class_6,0.055,0.0784
CIFAR-10,softmax,static,iid,TriMean,9,per_class_accs_class_6,0.010499999999999999,0.000979999999999999
CIFAR-10,softmax,static,iid,TriMean,0,per_class_accs_class_7,0.0115,0.006859999999999999
CIFAR-10,softmax,static,iid,TriMean,1,per_class_accs_class_7,0.0115,0.006859999999999999
CIFAR-10,softmax,static,iid,TriMean,2,per_class_accs_class_7,0.0115,0.006859999999999999
CIFAR-10,softmax,static,iid,TriMean,3,per_class_accs_class_7,0.0115,0.006859999999999999
CIFAR-10,softmax,static,iid,TriMean,4,per_class_accs_class_7,0.0115,0.006859999999999999
CIFAR-10,softmax,static,iid,TriMean,5,per_class_accs_class_7,0.0115,0.006859999999999999
CIFAR-10,softmax,static,iid,TriMean,6,per_class_accs_class_7,0.0115,0.006859999999999999
CIFAR-10,softmax,static,iid,TriMean,7,per_class_accs_class_7,0.0115,0.006859999999999999
CIFAR-10,softmax,static,iid,TriMean,8,per_class_accs_class_7,0.0115,0.006859999999999999
CIFAR-10,softmax,static,iid,TriMean,9,per_class_accs_class_7,0.21150000000000002,0.2401
CIFAR-10,softmax,static,iid,TriMean,0,per_class_accs_class_8,0.1025,0.14993999999999996
CIFAR-10,softmax,static,iid,TriMean,1,per_class_accs_class_8,0.1025,0.14993999999999996
CIFAR-10,softmax,static,iid,TriMean,2,per_class_accs_class_8,0.1025,0.14993999999999996
